,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
revenue,,3282033000.0,3523900000.0,3241200000.0,3196600000.0
operating_income,,479981000.0,499200000.0,533900000.0,455900000.0
da,,279324000.0,387200000.0,378200000.0,389700000.0
capex,,466192000.0,456800000.0,315600000.0,299200000.0
income_tax,,38160000.0,-8400000.0,28300000.0,18000000.0
pretax_income,,247080000.0,172700000.0,322000000.0,254600000.0
interest_expense,41240000.0,212669000.0,312378000.0,215217000.0,
nwc,,1001896000.0,785156000.0,822800000.0,860800000.0
liquidity,,563439000.0,456929000.0,329200000.0,360400000.0
total_debt,,5797518000.0,4596408000.0,3999500000.0,3716600000.0
