ticker,name,segment,period_end,operating_income,da,ebitda,bs_date,total_debt,cash,net_debt,shares
AMAT,Applied Materials,equipment,2025-10-26,8289000000,435000000,8724000000,2025-10-26,6455000000.0,7241000000,-786000000,793959430
LRCX,Lam Research,equipment,2025-06-29,5900968000,386277000,6287245000,2025-06-29,4469364000.0,6390659000,-1921295000,1250571000
KLAC,KLA Corporation,equipment,2025-06-30,5014227000,412400000,5426627000,2025-06-30,5884257000.0,2078908000,3805349000,130627521
TER,Teradyne,equipment,2025-12-31,650051000,127981000,778032000,2025-12-31,,293751000,-293751000,156542162
MKSI,MKS Instruments,equipment,2025-12-31,528000000,344000000,872000000,2025-12-31,4225000000.0,418000000,3807000000,67544129
ENTG,Entegris,equipment,2025-12-31,455900000,389700000,845600000,2025-12-31,3716600000.0,360400000,3356200000,152500000
NVDA,NVIDIA,designer,2026-01-25,130387000000,2888000000,133275000000,2026-01-25,8468000000.0,10605000000,-2137000000,24200000000
AVGO,Broadcom,designer,2025-11-02,25484000000,8636000000,34120000000,2025-11-02,65136000000.0,16178000000,48958000000,4757580198
QCOM,Qualcomm,designer,2025-09-28,12355000000,1621000000,13976000000,2025-09-28,14811000000.0,5520000000,9291000000,1054000000
AMD,Advanced Micro Devices,designer,2025-12-27,3694000000,2821000000,6515000000,2025-12-27,3222000000.0,5539000000,-2317000000,1630600639
TXN,Texas Instruments,designer,2025-12-31,6023000000,1918000000,7941000000,2025-12-31,14048000000.0,3225000000,10823000000,910092791
MRVL,Marvell Technology,designer,2026-01-31,1322900000,1163700000,2486600000,2026-01-31,4470600000.0,2638800000,1831800000,874800000
MPWR,Monolithic Power Systems,designer,2025-12-31,728636000,52513000,781149000,2025-12-31,,1099302000,-1099302000,49130000
LSCC,Lattice Semiconductor,designer,2026-01-03,11232000,22146000,33378000,2026-01-03,,133886000,-133886000,137007857
